TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
MQ|93214:2|61055190:1|67668545:1|38632293:1|9199555:1|5200657:1|57554753:1|60728939:1|47980509:1|48232090:1|39569451:1|5942804:1|73670367:1|22637162:1|58813262:1|48931938:1|63279403:1|79988548:1|55088930:1|67163971:1|75211601:1|63014265:1|28370343:1|69182673:1|48983757:1|1204178:1|28144962:1|73153922:1|29392977:1|30362291:1|60859952:1|54481852:1|52845590:1|26163690:1|25126039:1|57450195:1|29693108:1|65417526:1|55874823:1|3481692:1|57340948:1|78404248:1|2345820:1|30650914:1|25601811:1|2344604:1|37524691:1|41202549:1|68314886:1|75327645:1
CF|25660594:2|20385882:1|73104169:1|16766506:1|79579759:1|79488777:1|20864514:1|70617260:1|75399171:1|32336785:1|75865703:1|12684918:1|1777480:1|73484433:1|72325960:1|43020409:1|76431807:1|59807484:1|65699604:1|51550418:1|21865679:1|17383927:1|5495160:1|36946723:1|17709257:1|9998555:1|12889830:1|3323995:1|35122969:1|61535631:1|39999901:1|50321655:1|34858150:1|60234467:1|78282099:1|27729383:1|52345959:1|41695981:1|25551744:1|33514594:1|66403205:1|68179758:1|35388552:1|15223437:1|71130474:1|35616858:1|22611401:1|21671576:1|38453636:1|66656253:1
GH|73511058:1|19173722:1|52507410:1|27319438:1|70190205:1|45849622:1|19900921:1|78632365:1|55707731:1|59781973:1|24023188:1|5657742:1|46429590:1|4700566:1|14452594:1|75844905:1|36235632:1|33730929:1|21052590:1|67227750:1|49700445:1|38028443:1|41863463:1|7011529:1|78928954:1|7549080:1|59314838:1|19749581:1|60848219:1|63489740:1|31097685:1|26503479:1|21518708:1|63678898:1|3834549:1|76290922:1|17705762:1|28995977:1|30285756:1|23456465:1|53581127:1|11618909:1|31339836:1|23880609:1|74194989:1|79407990:1|46834933:1|66946187:1|48272087:1|24636380:1
SG|27368837:1|38505545:1|10467711:1|52187226:1|70990764:1|37565771:1|3566536:1|4775724:1|71741311:1|37055091:1|78160965:1|1783476:1|35617755:1|64901359:1|56604873:1|25139758:1|51120507:1|61841271:1|35668798:1|59884262:1|23315056:1|77159220:1|77242369:1|10011980:1|47688652:1|26075478:1|30961277:1|53612170:1|2046349:1|26967550:1|58250880:1|6730911:1|25648135:1|30948856:1|58396856:1|38855074:1|42290618:1|4636346:1|39362955:1|69964902:1|59816452:1|47331315:1|64648835:1|38069426:1|47980434:1|11835871:1|36106241:1|11904472:1|51769964:1|46562512:1
OM|35982797:1|64894257:1|7817447:1|35278277:1|27053501:1|48826418:1|75341680:1|55374841:1|26474150:1|71877262:1|50204311:1|73032121:1|9915946:1|4511572:1|45027679:1|66449224:1|44102065:1|38707865:1|57972434:1|14802081:1|41652281:1|27093778:1|61701860:1|38607765:1|13920961:1|11379844:1|70984373:1|60347435:1|456532:1|18893527:1|14931126:1|15908350:1|23681774:1|43791682:1|25642189:1|22120943:1|37055672:1|3982348:1|70453901:1|5558027:1|17467542:1|31267471:1|35951678:1|65815078:1|12680176:1|68033929:1|8951012:1|33218734:1|19280065:1|68338777:1
TN|21010360:1|15087333:1|74741345:1|31754920:1|3585454:1|57750904:1|63552118:1|18597936:1|1711096:1|55498222:1|1837365:1|29933212:1|1636637:1|44965837:1|55299156:1|75678251:1|53828364:1|46132531:1|59135921:1|61514718:1|9573537:1|73723348:1|52380086:1|60962765:1|47891580:1|37413593:1|38828896:1|2347386:1|75345858:1|44754486:1|37887153:1|24849072:1|16589484:1|65503192:1|21882252:1|54427657:1|3011981:1|75657449:1|45889654:1|13425179:1|14348016:1|60454940:1|59679707:1|35323074:1|17829967:1|15211785:1|52304836:1|28454297:1|32685730:1|12491714:1
TZ|397288:2|43563416:1|58002253:1|66707314:1|26764224:1|68021054:1|71488624:1|16398781:1|19219:1|12696816:1|45300162:1|33622049:1|70669649:1|852830:1|22163853:1|16766345:1|44871037:1|50902498:1|33742774:1|49870208:1|70777816:1|63662104:1|34286185:1|42093656:1|44438813:1|18326005:1|46519934:1|14616417:1|11410869:1|23512031:1|66747313:1|19923863:1|67820977:1|42927820:1|55619605:1|74304498:1|51491103:1|26752954:1|64495225:1|68312762:1|7903886:1|57299936:1|60244871:1|43757783:1|33272441:1|1847489:1|19182470:1|67312545:1|11740908:1|72261593:1
GD|35697725:1|36979337:1|61907775:1|12426086:1|12816209:1|28132923:1|12535852:1|30757801:1|3856164:1|11646740:1|29266927:1|36259859:1|4237516:1|78365678:1|74620187:1|37541391:1|64653123:1|65562801:1|62040946:1|22958673:1|2541715:1|37261728:1|10542018:1|77529798:1|35630398:1|49776558:1|33509569:1|66417799:1|71475937:1|53698650:1|64142845:1|52539295:1|22527955:1|61960615:1|65544849:1|180155:1|4031714:1|24582263:1|8219051:1|41691129:1|63417205:1|54001809:1|16723618:1|30014506:1|58806519:1|54829110:1|36247642:1|65149843:1|9658130:1|46958767:1
GL|47795011:1|26756832:1|19556305:1|48675676:1|25702266:1|45837751:1|10159560:1|45827449:1|60765391:1|57199516:1|29748651:1|13068156:1|19355373:1|15060761:1|64342745:1|2795908:1|76410388:1|26460279:1|68139729:1|19603827:1|60194552:1|59803283:1|56454590:1|34603225:1|65748590:1|7556072:1|64169437:1|78257371:1|8174848:1|66519882:1|7384767:1|34331060:1|48777685:1|1571710:1|20381395:1|30115817:1|10552928:1|34317466:1|74701650:1|5997275:1|10933055:1|76083298:1|18665460:1|46667043:1|48896933:1|71479305:1|29783815:1|20037879:1|49758530:1|76053584:1
GG|15696790:2|78419102:1|44279887:1|57465268:1|34866468:1|77715269:1|68167776:1|3816700:1|50962640:1|21673568:1|52176794:1|19636222:1|21085506:1|65343844:1|71204559:1|79081026:1|42874321:1|11165969:1|29928558:1|70842678:1|60711329:1|23236260:1|16856347:1|2006223:1|36432740:1|56278071:1|14264482:1|28785650:1|6597949:1|79363117:1|60488807:1|25245772:1|49607021:1|44380935:1|54630189:1|16182111:1|13732065:1|45609446:1|31037990:1|61969544:1|48098976:1|27568311:1|13174601:1|8168810:1|35278228:1|50256328:1|76825353:1|36867028:1|78033405:1|77620140:1
GN|28145146:2|21409852:1|60079837:1|19140368:1|75637254:1|18901250:1|22818324:1|32100882:1|48843943:1|42851713:1|73812049:1|43353232:1|21807158:1|19563717:1|26161588:1|56600677:1|3639965:1|2297580:1|32049315:1|2223277:1|59090519:1|56734315:1|60841566:1|44784017:1|40762469:1|16763238:1|36117615:1|51537459:1|3422234:1|15590434:1|28324610:1|67255360:1|1679068:1|77375184:1|51079308:1|17719305:1|74830313:1|18181354:1|9291250:1|570429:1|23670565:1|32693708:1|53738837:1|14052385:1|5390942:1|67201714:1|2328043:1|7276323:1|8468850:1|9846466:1
SX|32975456:1|65924256:1|18489355:1|7896545:1|68068369:1|11045488:1|66567097:1|21266752:1|58593052:1|37248116:1|47655455:1|61452087:1|42589947:1|19903849:1|42462419:1|10879794:1|11840330:1|9405274:1|79061655:1|64655263:1|722766:1|37454365:1|54691205:1|25769320:1|35867767:1|10200578:1|18736913:1|48688481:1|36077978:1|65710177:1|6731850:1|45594808:1|25126308:1|19112140:1|27316009:1|66437009:1|57218128:1|4223502:1|79598999:1|75421274:1|4867057:1|1060806:1|29649660:1|34220074:1|57665627:1|69171520:1|32655780:1|65257125:1|36140124:1|23896986:1
MX|70740297:1|63041236:1|2114776:1|11121784:1|29013542:1|77677219:1|25276247:1|5089171:1|77569057:1|55028871:1|8500231:1|59884244:1|16157185:1|48330597:1|54579638:1|63901668:1|33622268:1|32128665:1|23516277:1|39902628:1|9038727:1|24536137:1|35694771:1|4870280:1|73990463:1|73327297:1|27054523:1|64828957:1|49041176:1|58453164:1|15013827:1|25605159:1|53574648:1|22204497:1|41687642:1|44110086:1|72585664:1|7807617:1|22726096:1|25533210:1|43797774:1|42178849:1|60725033:1|5223483:1|50176165:1|41066023:1|25603595:1|46119602:1|68111900:1|27006389:1
ER|36134096:2|41832795:2|12402535:1|7211892:1|64337926:1|60506804:1|1122820:1|73961652:1|61316745:1|19243766:1|56702932:1|62027128:1|8876052:1|45508226:1|24434379:1|48707534:1|30596519:1|38245990:1|16497536:1|34440673:1|27226493:1|57690013:1|1972480:1|66599815:1|12846597:1|34407522:1|46326697:1|69987615:1|72121408:1|13203205:1|67124022:1|51736010:1|41653615:1|18950446:1|77155920:1|35812222:1|4976436:1|59530647:1|75564391:1|56143041:1|52881938:1|58477825:1|24177861:1|31803234:1|56312113:1|26172571:1|68820196:1|32127021:1|28661164:1|54313077:1
AL|63249607:2|32736202:1|78849998:1|71978460:1|51728685:1|50041243:1|18969297:1|34052399:1|38596456:1|63463211:1|6021612:1|20430289:1|259611:1|58510214:1|60165327:1|14066948:1|37785411:1|20743481:1|13981815:1|44493044:1|59257718:1|13086518:1|29354531:1|1722152:1|48623721:1|71086694:1|65118298:1|36946279:1|4479391:1|162580:1|31818709:1|74463173:1|282917:1|2121546:1|27958412:1|32050320:1|44884597:1|959165:1|27952354:1|77275077:1|61049205:1|24058309:1|62321179:1|18986802:1|38082052:1|63340098:1|9875105:1|10372379:1|53043378:1|65085339:1
AG|58609293:2|59854286:1|35343503:1|45238012:1|39500569:1|33160240:1|21326403:1|68411106:1|13602492:1|4823493:1|12171947:1|61277425:1|54338788:1|46752698:1|15455254:1|48008781:1|52281886:1|62955532:1|1529932:1|68821578:1|24169268:1|9762109:1|39208139:1|54461657:1|26293454:1|55090458:1|34137609:1|31989021:1|24918318:1|13575242:1|5474257:1|13665111:1|37551151:1|39473575:1|72311697:1|45598805:1|75855647:1|64590664:1|49394121:1|22612510:1|23922953:1|63053741:1|3148163:1|72390484:1|31042474:1|4663218:1|12992534:1|78752177:1|44005534:1|25160356:1
AF|17049186:1|54649175:1|54020576:1|8364513:1|14508368:1|20683764:1|47531290:1|62142723:1|1934125:1|50571341:1|62621063:1|39888600:1|47401964:1|18146976:1|27170058:1|45942653:1|63388097:1|21405183:1|2800187:1|74814736:1|31924307:1|63331980:1|27321598:1|56644626:1|19092707:1|45642205:1|36927826:1|49224800:1|64610158:1|77726771:1|20868406:1|46548655:1|3390174:1|22208669:1|56051675:1|641246:1|77265466:1|50271395:1|55406958:1|22352766:1|14181861:1|30117124:1|24247637:1|51824200:1|63740305:1|45263931:1|60804230:1|7409605:1|37014196:1|75462531:1
VG|66122291:1|33423723:1|52942729:1|21815135:1|7453132:1|24451850:1|55971723:1|3578875:1|51625454:1|59933175:1|23758189:1|12558718:1|10559602:1|20308655:1|2092703:1|34359969:1|58568926:1|41573838:1|37319885:1|6791995:1|17578903:1|52361193:1|13888080:1|38376160:1|1774087:1|47188835:1|5150256:1|78035664:1|783925:1|10355834:1|11735809:1|21469738:1|43612025:1|43398740:1|5138872:1|53841013:1|74748439:1|60781071:1|77898415:1|22233263:1|24778638:1|3604449:1|9077871:1|56769778:1|33952034:1|56576119:1|10574019:1|60302994:1|58692161:1|66271026:1
ES|54597696:1|53466849:1|71368477:1|8701335:1|31653014:1|10791471:1|23583682:1|69132508:1|52692825:1|2518983:1|50424138:1|57349717:1|2003632:1|53521925:1|33996887:1|71401327:1|66617238:1|47211175:1|26511705:1|5573634:1|17124149:1|58520467:1|24130070:1|57593060:1|37885713:1|16749253:1|20571761:1|38803540:1|29270669:1|15213182:1|46900427:1|64649074:1|51896723:1|79150348:1|78091176:1|41865586:1|32829925:1|5562940:1|14303157:1|32157962:1|72950603:1|57847043:1|12651467:1|75172354:1|53646497:1|31724464:1|79259178:1|8055379:1|18629476:1|61650217:1
LS|60606522:1|9606551:1|41937480:1|69041743:1|37899290:1|70463578:1|65231347:1|3502232:1|33031004:1|40040762:1|71753638:1|41070405:1|16882904:1|76018262:1|41224422:1|42106751:1|42612025:1|62207094:1|65296470:1|62534722:1|40260854:1|12507549:1|44440340:1|31051152:1|52859495:1|71656396:1|9944093:1|585775:1|58947719:1|13196043:1|32334232:1|62489881:1|76751486:1|16713519:1|76976414:1|48345985:1|50062311:1|9134323:1|60133366:1|63084690:1|17887543:1|19179138:1|11299060:1|10160325:1|14141560:1|28870111:1|13836114:1|26121241:1|2165332:1|29484800:1
PW|60119297:1|26108496:1|67665844:1|951452:1|54111797:1|6743758:1|20533724:1|23527499:1|31650017:1|57848973:1|29863351:1|79578227:1|43530755:1|26032178:1|31492064:1|79331381:1|54053222:1|16450492:1|62653859:1|14627133:1|55097986:1|54283787:1|60363970:1|17120743:1|30942372:1|64976129:1|20730396:1|55644646:1|1457832:1|79188999:1|19762560:1|4619316:1|41757396:1|36022100:1|40438697:1|3993439:1|27375625:1|10816901:1|69507475:1|40263096:1|14624210:1|40758288:1|53608029:1|12883525:1|25815968:1|62129854:1|18525206:1|7173105:1|70481032:1|15186925:1
GW|46844686:1|10115606:1|71626031:1|12235792:1|18677456:1|22489224:1|17004970:1|34851381:1|20193809:1|12952438:1|37598347:1|18886443:1|58663949:1|57744772:1|21098674:1|37898776:1|24274243:1|62735487:1|25345424:1|37399784:1|32275657:1|11785314:1|14453635:1|56647735:1|5695479:1|58872520:1|56012731:1|73495636:1|47327347:1|19822815:1|4171077:1|23741193:1|41996181:1|37692228:1|33902948:1|62664329:1|66939887:1|12357754:1|38299730:1|15504334:1|55646551:1|64262337:1|60739870:1|3419642:1|19151174:1|27717228:1|72152823:1|64393827:1|42307017:1|21725243:1
CI|39839978:2|32303264:1|69938033:1|48956422:1|30625162:1|29897003:1|34116168:1|58561933:1|64567099:1|30468849:1|75598614:1|56871896:1|54440015:1|73589587:1|10875382:1|78834355:1|69139626:1|61319329:1|24504310:1|63160866:1|1693345:1|41982208:1|19790123:1|68082110:1|29278770:1|10454404:1|50769788:1|75386441:1|34070101:1|4775382:1|41821566:1|50369717:1|38913161:1|64057654:1|53445276:1|7947393:1|73326757:1|17613753:1|60991923:1|70217395:1|54583093:1|71283596:1|3670836:1|43879463:1|61347151:1|60237665:1|54620490:1|79745726:1|70356713:1|72248626:1
LY|72960585:1|4830195:1|57722966:1|39276612:1|16017198:1|58636167:1|52474984:1|18338299:1|46383087:1|64297678:1|78919832:1|2579503:1|72093926:1|56844107:1|79928145:1|28001794:1|26394516:1|25689965:1|3160840:1|24536065:1|58070916:1|38054333:1|56444391:1|2103643:1|58003446:1|12618870:1|9643163:1|34862751:1|59927992:1|48686428:1|22943413:1|79932497:1|37254147:1|71090598:1|12370345:1|75629418:1|32039324:1|34876138:1|56764523:1|17005033:1|78190580:1|72950333:1|28293121:1|32612770:1|71328669:1|6640441:1|65286634:1|64985726:1|60260111:1|56273892:1
